,symbol,time,vol,op,sl,tp
0,ABEV,2021-03-19 23:15:00,28,2.83,2.69,5.66
1,ABEV,2021-03-26 23:15:00,29,2.72,2.58,5.55
2,ABEV,2021-04-05 23:15:00,29,2.73,2.59,5.56
3,ABEV,2021-04-06 23:15:00,28,2.75,2.61,5.58
4,ABEV,2021-04-07 23:15:00,28,2.77,2.63,5.6
5,ABEV,2021-04-08 23:15:00,28,2.78,2.64,5.61
6,ABEV,2021-04-12 23:15:00,28,2.78,2.64,5.61
7,ABEV,2021-04-14 23:15:00,28,2.81,2.67,5.64
8,ABEV,2021-04-15 23:15:00,27,2.85,2.71,5.68
9,ABEV,2021-04-21 23:15:00,27,2.89,2.75,5.72
10,ABEV,2021-04-22 23:15:00,26,2.92,2.78,5.75
11,ABEV,2021-04-26 23:15:00,27,2.91,2.77,5.74
12,ABEV,2021-04-28 23:15:00,27,2.87,2.73,5.7
13,ABEV,2021-04-29 23:15:00,27,2.89,2.75,5.72
14,ABEV,2021-05-05 23:15:00,28,2.75,2.61,5.58
15,ABEV,2021-05-06 23:15:00,25,3.01,2.87,5.84
16,ABEV,2021-05-07 23:15:00,25,3.14,3.0,5.97
17,ABEV,2021-05-13 23:15:00,24,3.28,3.14,6.11
18,ABEV,2021-05-14 23:15:00,24,3.32,3.18,6.15
19,ABEV,2021-05-24 23:15:00,23,3.33,3.19,6.16
20,ABEV,2021-05-25 23:15:00,23,3.36,3.22,6.19
21,ABEV,2021-05-26 23:15:00,23,3.33,3.19,6.16
22,ABEV,2021-06-01 23:15:00,22,3.54,3.4,6.37
23,ABEV,2021-06-03 23:15:00,20,3.8,3.66,6.63
24,ASXC,2021-03-19 23:15:00,20,3.85,3.71,6.68
25,ASXC,2021-03-22 23:15:00,18,4.1,3.96,6.93
26,ASXC,2021-03-24 23:15:00,19,3.86,3.72,6.69
27,ASXC,2021-03-31 23:15:00,22,3.6,3.46,6.43
28,ASXC,2021-04-01 23:15:00,23,3.43,3.29,6.26
29,ASXC,2021-04-05 23:15:00,22,3.47,3.33,6.3
30,ASXC,2021-04-07 23:15:00,24,3.16,3.02,5.99
31,ASXC,2021-04-08 23:15:00,26,2.85,2.71,5.68
32,ASXC,2021-04-09 23:15:00,29,2.77,2.63,5.6
33,ASXC,2021-04-15 23:15:00,36,2.09,1.95,4.92
34,ASXC,2021-04-22 23:15:00,39,2.05,1.91,4.88
35,ASXC,2021-04-23 23:15:00,40,1.98,1.84,4.81
36,ASXC,2021-04-26 23:15:00,40,1.95,1.81,4.78
37,ASXC,2021-04-27 23:15:00,32,2.21,2.07,5.04
38,ASXC,2021-04-28 23:15:00,36,2.24,2.1,5.07
39,ASXC,2021-04-29 23:15:00,34,2.16,2.02,4.99
40,ASXC,2021-05-03 23:15:00,37,2.02,1.88,4.85
41,ASXC,2021-05-05 23:15:00,42,1.84,1.7,4.67
42,ASXC,2021-05-07 23:15:00,40,1.93,1.79,4.76
43,ASXC,2021-05-10 23:15:00,42,1.78,1.64,4.61
44,ASXC,2021-05-13 23:15:00,45,1.81,1.67,4.64
45,ASXC,2021-05-14 23:15:00,47,1.74,1.6,4.57
46,ASXC,2021-05-18 23:15:00,43,1.9,1.76,4.73
47,ASXC,2021-05-20 23:15:00,38,2.07,1.93,4.9
48,ASXC,2021-05-21 23:15:00,36,2.22,2.08,5.05
49,ASXC,2021-05-24 23:15:00,36,2.1,1.96,4.93
50,ASXC,2021-05-25 23:15:00,38,2.06,1.92,4.89
51,ASXC,2021-05-26 23:15:00,36,2.47,2.33,5.3
52,ASXC,2021-05-27 23:15:00,31,2.39,2.25,5.22
53,ASXC,2021-06-02 23:15:00,31,2.46,2.32,5.29
54,ATOS,2021-03-19 23:15:00,28,2.72,2.58,5.55
55,ATOS,2021-03-31 23:15:00,38,2.11,1.97,4.94
56,ATOS,2021-04-05 23:15:00,36,2.07,1.93,4.9
57,ATOS,2021-04-12 23:15:00,39,1.9,1.76,4.73
58,ATOS,2021-04-15 23:15:00,42,1.83,1.69,4.66
59,ATOS,2021-04-19 23:15:00,48,1.61,1.47,4.44
60,ATOS,2021-04-20 23:15:00,51,1.59,1.45,4.42
61,ATOS,2021-04-21 23:15:00,50,1.61,1.47,4.44
62,ATOS,2021-04-22 23:15:00,45,1.73,1.59,4.56
63,ATOS,2021-04-23 23:15:00,44,1.82,1.68,4.65
64,ATOS,2021-04-26 23:15:00,44,1.85,1.71,4.68
65,ATOS,2021-04-27 23:15:00,39,2.0,1.86,4.83
66,ATOS,2021-04-29 23:15:00,34,2.6,2.5,4.7
67,ATOS,2021-04-30 23:15:00,33,2.28,2.14,5.11
68,ATOS,2021-05-03 23:15:00,33,2.42,2.28,5.25
69,ATOS,2021-05-13 23:15:00,30,2.56,2.42,5.39
70,ATOS,2021-05-14 23:15:00,31,2.7,2.56,5.53
71,ATOS,2021-05-17 23:15:00,24,3.19,3.05,6.02
72,ATOS,2021-05-18 23:15:00,24,3.35,3.21,6.18
73,ATOS,2021-05-20 23:15:00,24,3.3,3.16,6.13
74,ATOS,2021-05-21 23:15:00,24,3.31,3.17,6.14
75,ATOS,2021-05-24 23:15:00,24,3.25,3.11,6.08
76,ATOS,2021-05-25 23:15:00,24,3.19,3.05,6.02
77,ATOS,2021-05-27 23:15:00,25,3.15,3.01,5.98
78,ATOS,2021-06-01 23:15:00,23,3.47,3.33,6.3
